Transparency Q2 - 01.07.11 to 30.09.11 as at 28.10.11,,,,,
Name,Payment category,Amount,Department,Document no.,Post code
HSBC INVOICE FINANCE (UK) LTD,Looked after children,"£1,110",Children's Services,4500540966,BN11
TOTS NURSERIES,Strategic Costs CSA,"£13,530",Children's Services,3000274018,BN22
TOTS NURSERIES,Strategic Costs GSSG,£679,Children's Services,3000275245,BN22
BIBBY FACTORS SUSSEX LTD,Sussex Downs & Weald PCT,"£1,692",Adult Social Care,4500521405,TN34
BIBBY FACTORS SUSSEX LTD,Sussex Downs & Weald PCT,"£1,692",Adult Social Care,4500527273,TN34
BIBBY FACTORS SUSSEX LTD,Sussex Downs & Weald PCT,"£1,692",Adult Social Care,4500532518,TN34
BIBBY FACTORS SUSSEX LTD,Community Safety,"£12,665",Governance & Community Services,4500535230,TN34
BIBBY FACTORS SUSSEX LTD,Sussex Downs & Weald PCT,"£1,692",Adult Social Care,4500537250,TN34
EDENRED,Personnel & Training,"£1,808",Governance & Community Services,4500531471,CH4 
HASTINGS LOCKSMITHS,Excellence Cluster,"£1,340",Children's Services,4500531863,TN35
SOUTHERN WATER SERVICES,Waste Disposal,"£16,094","Economy, Transport & Environment",4500524768,BN13
SOUTHERN WATER SERVICES,Waste Disposal,"£4,769","Economy, Transport & Environment",4500524918,BN13
SOUTHERN WATER SERVICES,Waste Disposal,"£3,625","Economy, Transport & Environment",4500530005,BN13
SOUTHERN WATER SERVICES,Waste Disposal,"£13,306","Economy, Transport & Environment",4500530007,BN13
SOUTHERN WATER SERVICES,Waste Disposal,"£3,171","Economy, Transport & Environment",4500537032,BN13
SOUTHERN WATER SERVICES,Waste Disposal,"£9,744","Economy, Transport & Environment",4500537132,BN13
SURREY COUNTY COUNCIL,SEN Team,"£3,106",Children's Services,4500530454,KT1 
SURREY COUNTY COUNCIL,SEN Team,"£19,571",Children's Services,4500535541,KT1 
SURREY COUNTY COUNCIL,Planning,"£1,400","Economy, Transport & Environment",4500537460,KT1 
UNIVERSITY OF SUSSEX,Organisational Development,"£2,750",Children's Services,4500532188,BN1 
UNIVERSITY OF SUSSEX,Organisational Development,"£1,030",Children's Services,4500532190,BN1 
UNIVERSITY OF SUSSEX,Organisational Development,£550,Children's Services,4500532192,BN1 
1066 LEGAL SERVICES,Children's Integrated Services Central,£720,Children's Services,4500532805,TN34
A B ELECTRICAL & SECURITY CO LTD,Central GSSG,"£5,881",Children's Services,4500527668,TN35
A B ELECTRICAL & SECURITY CO LTD,Projects,£616,Corporate Resources,4500539466,TN35
ABLAZE BUILDING SOLUTIONS LTD,Facilities Management,"£3,557",Corporate Resources,4500525333,GU16
ABLAZE BUILDING SOLUTIONS LTD,Facilities Management,"£19,087",Corporate Resources,4500527031,GU16
ABLAZE BUILDING SOLUTIONS LTD,Facilities Management,"£4,447",Corporate Resources,4500528519,GU16
ABLAZE BUILDING SOLUTIONS LTD,Facilities Management,"£1,596",Corporate Resources,4500528571,GU16
ABLAZE BUILDING SOLUTIONS LTD,Facilities Management,"£13,365",Corporate Resources,4500528573,GU16
ABLAZE BUILDING SOLUTIONS LTD,Projects,"£2,403",Corporate Resources,4500532978,GU16
ABLAZE BUILDING SOLUTIONS LTD,Projects,"£5,154",Corporate Resources,4500536172,GU16
ABLAZE BUILDING SOLUTIONS LTD,Facilities Management,"£1,633",Corporate Resources,4500538404,GU16
ACAD MAPPING,Non Service Specific Budgets,"£3,510",Corporate Resources,4500536912,TN6 
ACKERMAN MUSIC LTD,East Sussex Music Service,"£8,640",Children's Services,4500526464,BN3 
ACKERMAN MUSIC LTD,East Sussex Music Service,"£1,250",Children's Services,4500531082,BN3 
ADAMS JOHNS KENNARD LTD,Projects,£720,Corporate Resources,4500528683,TN33
ADAMS JOHNS KENNARD LTD,Projects,£513,Corporate Resources,4500528715,TN33
ADAMS JOHNS KENNARD LTD,Projects,"£1,627",Corporate Resources,4500531095,TN33
ADAMS JOHNS KENNARD LTD,Corporate Resources Department,"£2,016",Corporate Resources,4500531281,TN33
ADAMS JOHNS KENNARD LTD,Projects,£525,Corporate Resources,4500531284,TN33
ADAMS JOHNS KENNARD LTD,Projects,£619,Corporate Resources,4500531290,TN33
ADAMS JOHNS KENNARD LTD,Projects,"£1,908",Corporate Resources,4500535737,TN33
ADAMS JOHNS KENNARD LTD,Projects,"£3,195",Corporate Resources,4500535738,TN33
ADAMS JOHNS KENNARD LTD,Projects,"£1,839",Corporate Resources,4500536107,TN33
AIRPORTS-SEAPORTS TAXIS,Education HTS Transport,"£1,056","Economy, Transport & Environment",7000778583,BN25
AIRPORTS-SEAPORTS TAXIS,Education HTS Transport,"£1,056","Economy, Transport & Environment",7000782537,BN25
ALL GROUNDCARE SERVICES,Contracts,£534,Children's Services,4500538501,BN9 
ANGEL DESIGN PARTNERSHIP LTD,High Weald AONB Unit,"£2,400","Economy, Transport & Environment",4500532784,TN37
APETITO LTD,"Hastings, Bexhill & Rother PCT","£3,782",Adult Social Care,3000271120,BN27
APETITO LTD,Sussex Downs & Weald PCT,"£1,609",Adult Social Care,3000271393,BN27
APETITO LTD,"Hastings, Bexhill & Rother PCT","£3,763",Adult Social Care,3000272442,BN27
APETITO LTD,Sussex Downs & Weald PCT,"£1,648",Adult Social Care,3000272990,BN27
APETITO LTD,"Hastings, Bexhill & Rother PCT","£3,430",Adult Social Care,3000273722,BN27
APETITO LTD,Sussex Downs & Weald PCT,"£1,306",Adult Social Care,3000273738,BN27
APETITO LTD,Sussex Downs & Weald PCT,£854,Adult Social Care,3000274758,BN27
APETITO LTD,Sussex Downs & Weald PCT,"£1,115",Adult Social Care,3000274759,BN27
APPLEBY PETFIELD,Trading Standards,"£2,376",Governance & Community Services,4500536131,TN21
